NOME,RUA,NUMERO,BAIRRO,CIDADE,CEP,LATITUDE,LONGITUDE,CNPJ,PRECO MEDIO,VALOR MINIMO,CATEGORIA,AVALIACAO,TEMPO ENTREGA,VALOR ORIGINAL,SUPER RESTAURANTE
Forno Di Viele,Rua Calógero Rape,840,Jardim Sao Jorge,ARUJA,07436700,-23.421128,-46.291201,61530074000124,$,20,Italiana,0.0,0,,NÃO
Terezas - Caldos e Sopas,R. Cinco B,243,Parque Maria Helena,GUARULHOS,07261740,-23.449675,-46.397976,49223512000106,$,19,Sopas & Caldos,0.0,0,,NÃO
"Souza Açaí , Caldos quentes e Salgados ",Rua Oslo,226,Parque Macedo,ITAQUAQUECETUBA,08595330,-23.468982,-46.302484,,$,25,Açaí,4.1,0,,NÃO
Lanchonete e Acai Pira,Rua Fernando Namora,162,Parque Piratininga,ITAQUAQUECETUBA,08583410,-23.442596,-46.380012,33702286000106,$,15,Hambúrguer,0.0,0,,NÃO
63.146.141 Girlane de Freitas Santos,Rua Irapuã,232000,Jardim Normandia,GUARULHOS,07252130,-23.448333,-46.402538,63146141000137,$,20,Brasileira,0.0,0,,NÃO
Adega Bourbon,Rua Muribeca,246,Jardim Monte Alegre,GUARULHOS,07273330,-23.463318,-46.416016,61340481000179,$,20,Brasileira,4.9,0,,NÃO
Delícias da Lu,Rua Geraldo Valadares,238,Jardim Santa Inês,SUZANO,08695035,-23.496202,-46.286878,61186767000141,$,30,Doces & Bolos,4.9,0,,NÃO
Pedi Aki Lanches,Rua Bela Vista,14,Jardim Normandia,GUARULHOS,07252085,-23.441926,-46.399409,55020917000140,$,0,Lanches,0.0,0,,NÃO
Comercial Mg,Rua Minas Gerais,600,Morro Branco,ITAQUAQUECETUBA,08572450,-23.498992,-46.34281,58378045000184,$,15,Brasileira,5.0,45,6.99,NÃO
Armazém Gelado,Rua Guzolândia,33,Jardim Pinheirinho,ITAQUAQUECETUBA,08589270,-23.437769,-46.299921,51804432000196,$,20,Brasileira,0.0,40,18,NÃO
Avisa Lá,Rua José de Arruda Botelho,41,Cidade Boa Vista,SUZANO,08693040,-23.497392,-46.305582,04951443000119,$,15,Tapioca,0.0,58,18.99,NÃO
Lanches e Delícias,Rua Guadalajara,525,Jardim Mônica,ITAQUAQUECETUBA,08584400,-23.428058,-46.343574,,$,20,Lanches,0.0,0,,NÃO
Casa de Assados,Estrada do Campo Limpo,1125,Jardim do Vale,ITAQUAQUECETUBA,08595500,-23.469439,-46.313539,48852029000128,$,20,Brasileira,4.2,30,12.99,NÃO
